University,Moto
Princeton University,Under God's Power She Flourishes
Harvard University,Truth
Columbia University,In Thy light shall we see light 
Massachusetts Institute of Technology,Mind and Hand
University of Chicago,Let knowledge grow from more to more; and so be human life enriched
Yale University,Light and truth
Stanford University,The wind of freedom blows
Duke University,Knowledge and Faith
University of Pennsylvania,Laws without morals are useless
Johns Hopkins University,The Truth Shall Set You Free
Northwestern University,Whatsoever things are true The word full of grace and truth 
California Institute of Technology,The truth shall make you free
Dartmouth College,A voice crying out in the wilderness
Brown University,In God We Hope
Vanderbilt University, 
Cornell University,I would found an institution where any person can find instruction in any study
Rice University,"Letters, Science, Art"
University of Notre Dame,"Life, Sweetness, Hope"
University of California--Los Angeles, 
Washington University in St. Louis,Strength through truth
Emory University,The wise heart seeks knowledge
Georgetown University,Both into One
University of California--Berkeley,Let there be light
University of Southern California,Let whoever earns the palm bear it
Carnegie Mellon University,My heart is in the work
University of Virginia, 
Tufts University,Peace and Light
University of Michigan--Ann Arbor,Art Science Truth
Wake Forest University,For Humanity
New York University,To persevere and to excel
University of California--Santa Barbara,Let there be light
University of North Carolina--Chapel Hill,Light and Liberty
University of California--Irvine,Let there be light
University of Rochester,Ever Better also Always Better
Brandeis University,Truth even unto its innermost parts
Georgia Institute of Technology,Progress and Service
University of Florida,The welfare of the state depends upon the morals of its citizens
Boston College,Ever to Excel
College of William and Mary, 
University of California--Davis,Let there be light
University of California--San Diego,Let there be light
Boston University,Learning Virtue Piety
Case Western Reserve University,Think Beyond the Possible
Northeastern University, 
Tulane University,Not for oneself but for one's own
Pepperdine University,Freely ye received freely give
University of Georgia, 
University of Illinois--Urbana-Champaign,Learning and Labor
Rensselaer Polytechnic Institute,Knowledge and Thoroughness
University of Texas--Austin,Education the Guardian of Society
University of Wisconsin--Madison,"God, our light or The divine within the universe however manifested, is my light"
Villanova University,Truth Unity Charity
Lehigh University, 
Syracuse University,Knowledge crowns those who seek her
University of Miami,Great is the truth
Ohio State University--Columbus,Education for Citizenship
Purdue University--West Lafayette,Education Research Service
Rutgers University--New Brunswick, 
Pennsylvania State University--University Park,Making Life Better
Southern Methodist University,The truth will make you free
University of Washington,Let there be light
