Name/Rank,Tuition and Fees,Enrollment,,
"Princeton University
Princeton, NJ
#1 in National Universities","$47,140","5,394",,
"Harvard University
Cambridge, MA
#2 in National Universities","$50,420","6,766",,
"Columbia University
New York, NY
#3 in National Universities (tie)","$59,430","6,162",,
"Massachusetts Institute of Technology
Cambridge, MA
#3 in National Universities (tie)","$51,832","4,547",,
"University of Chicago
Chicago, IL
#3 in National Universities (tie)","$57,006","6,264",,
,,,,
"Yale University
New Haven, CT
#3 in National Universities (tie)","$53,430","5,746",,
"Stanford University
Stanford, CA
#7 in National Universities","$51,354","7,062",,
"Duke University
Durham, NC
#8 in National Universities (tie)","$55,960","6,692",,
"University of Pennsylvania
Philadelphia, PA
#8 in National Universities (tie)","$55,584","10,033",,
"Johns Hopkins University
Baltimore, MD
#10 in National Universities (tie)","$53,740","6,109",,
,,,,
"Northwestern University
Evanston, IL
#10 in National Universities (tie)","$54,567","8,278",,
"California Institute of Technology
Pasadena, CA
#12 in National Universities (tie)","$52,362",961,,
"Dartmouth College
Hanover, NH
#12 in National Universities (tie)","$55,035","4,410",,
"Brown University
Providence, RI
#14 in National Universities (tie)","$55,656","6,988",,
"Vanderbilt University
Nashville, TN
#14 in National Universities (tie)","$49,816","6,885",,
,,,,
"Cornell University
Ithaca, NY
#16 in National Universities (tie)","$55,188","14,907",,
"Rice University
Houston, TX
#16 in National Universities (tie)","$47,350","4,001",,
"University of Notre Dame
Notre Dame, IN
#18 in National Universities","$53,391","8,576",,
"University of California--Los Angeles
Los Angeles, CA
#19 in National Universities (tie)","$41,294 (out-of-state), $13,280 (in-state)","31,002",,
"Washington University in St. Louis
St. Louis, MO
#19 in National Universities (tie)","$53,399","7,675",,
,,,,
"Emory University
Atlanta, GA
#21 in National Universities","$51,306","6,937",,
"Georgetown University
Washington, DC
#22 in National Universities (tie)","$54,104","7,463",,
"University of California--Berkeley
Berkeley, CA
#22 in National Universities (tie)","$43,232 (out-of-state), $14,240 (in-state)","30,574",,
"University of Southern California
Los Angeles, CA
#22 in National Universities (tie)","$56,225","19,170",,
"Carnegie Mellon University
Pittsburgh, PA
#25 in National Universities (tie)","$55,465","6,896",,
,,,,
"University of Virginia
Charlottesville, VA
#25 in National Universities (tie)","$48,891 (out-of-state), $17,350 (in-state)","16,655",,
"Tufts University
Medford, MA
#27 in National Universities (tie)","$56,382","5,541",,
"University of Michigan--Ann Arbor
Ann Arbor, MI
#27 in National Universities (tie)","$49,350 (out-of-state), $15,262 (in-state)","29,821",,
"Wake Forest University
Winston-Salem, NC
#27 in National Universities (tie)","$53,322","5,102",,
"New York University
New York, NY
#30 in National Universities (tie)","$51,828","26,417",,
,,,,
"University of California--Santa Barbara
Santa Barbara, CA
#30 in National Universities (tie)","$42,486 (out-of-state), $14,472 (in-state)","22,186",,
